date,gold_cost_rub
2020-09-14,4681.88
2020-09-15,4665.67
2020-09-16,4746.61
2020-09-17,4733.17
2020-09-18,4680.61
2020-09-19,4715.5
2020-09-20,4715.5
2020-09-21,4715.5
2020-09-22,4720.43
2020-09-23,4666.73
2020-09-24,4635.01
2020-09-25,4592.32
2020-09-26,4618.65
2020-09-27,4618.65
2020-09-28,4618.65
2020-09-29,4681.68
2020-09-30,4822.55
2020-10-01,4770.62
2020-10-02,4709.54
2020-10-03,4786.39
2020-10-04,4786.39
2020-10-05,4786.39
2020-10-06,4771.68
2020-10-07,4827.56
2020-10-08,4740.23
2020-10-09,4737.92
2020-10-10,4736.09
2020-10-11,4736.09
2020-10-12,4736.09
2020-10-13,4754.14
2020-10-14,4772.77
2020-10-15,4711.68
2020-10-16,4740.64
2020-10-17,4783.12
2020-10-18,4783.12
2020-10-19,4783.12
2020-10-20,4785.15
2020-10-21,4767.05
2020-10-22,4752.55
2020-10-23,4750.35
2020-10-24,4697.13
2020-10-25,4697.13
2020-10-26,4697.13
2020-10-27,4673.64
2020-10-28,4667.69
2020-10-29,4729.52
2020-10-30,4759.17
2020-10-31,4784.4
2020-11-01,4784.4
2020-11-02,4784.4
2020-11-03,4887.7
2020-11-04,4886.56
2020-11-05,4886.56
2020-11-06,4834.96
2020-11-07,4834.1
2020-11-08,4834.1
2020-11-09,4834.1
2020-11-10,4842.82
2020-11-11,4605.21
2020-11-12,4596.93
2020-11-13,4631.33
2020-11-14,4669.38
2020-11-15,4669.38
2020-11-16,4669.38
2020-11-17,4680.45
2020-11-18,4622.23
2020-11-19,4582.44
2020-11-20,4554.16
2020-11-21,4562.65
2020-11-22,4562.65
2020-11-23,4562.65
2020-11-24,4539.73
2020-11-25,4431.61
2020-11-26,4388.45
2020-11-27,4402.52
2020-11-28,4409.74
2020-11-29,4409.74
2020-11-30,4409.74
2020-12-01,4341.07
2020-12-02,4407.43
2020-12-03,4456.05
2020-12-04,4436.04
2020-12-05,4390.93
2020-12-06,4390.93
2020-12-07,4390.93
2020-12-08,4375.28
2020-12-09,4415.66
2020-12-10,4383.23
2020-12-11,4346.88
2020-12-12,4310.63
2020-12-13,4310.63
2020-12-14,4310.63
2020-12-15,4267.87
2020-12-16,4354.98
2020-12-17,4393.73
2020-12-18,4392.15
2020-12-19,4428.96
2020-12-20,4428.96
2020-12-21,4428.96
2020-12-22,4487.62
2020-12-23,4538.16
2020-12-24,4529.59
2020-12-25,4505.61
2020-12-26,4436.55
2020-12-27,4436.55
2020-12-28,4436.55
2020-12-29,4438.08
2020-12-30,4437.61
2020-12-31,4459.48
2021-01-01,4491.66
2021-01-02,4491.66
2021-01-03,4491.66
2021-01-04,4491.66
2021-01-05,4491.66
2021-01-06,4491.66
2021-01-07,4491.66
2021-01-08,4491.66
2021-01-09,4491.66
2021-01-10,4491.66
2021-01-11,4491.66
2021-01-12,4426.84
2021-01-13,4445.57
2021-01-14,4378.94
2021-01-15,4366.17
2021-01-16,4383.49
2021-01-17,4383.49
2021-01-18,4383.49
2021-01-19,4361.69
2021-01-20,4368.68
2021-01-21,4373.92
2021-01-22,4405.56
2021-01-23,4431.54
2021-01-24,4431.54
2021-01-25,4431.54
2021-01-26,4465.88
2021-01-27,4506.49
2021-01-28,4454.61
2021-01-29,4506.07
2021-01-30,4542.04
2021-01-31,4542.04
2021-02-01,4542.04
2021-02-02,4509.9
2021-02-03,4507.67
2021-02-04,4487.73
2021-02-05,4410.67
2021-02-06,4367.4
2021-02-07,4367.4
2021-02-08,4367.4
2021-02-09,4325.35
2021-02-10,4400.3
2021-02-11,4377.11
2021-02-12,4367.35
2021-02-13,4321.67
2021-02-14,4321.67
2021-02-15,4321.67
2021-02-16,4283.63
2021-02-17,4296.61
2021-02-18,4242.54
2021-02-19,4228.69
2021-02-20,4218.41
2021-02-21,4248.68
2021-02-22,4218.41
2021-02-23,4218.41
2021-02-24,4218.41
2021-02-25,4285.38
2021-02-26,4233.41
2021-02-27,4224.26
2021-02-28,4224.26
2021-03-01,4224.26
2021-03-02,4158.78
2021-03-03,4144.35
2021-03-04,4082.19
2021-03-05,4056.73
2021-03-06,4058.47
2021-03-07,4058.47
2021-03-08,4058.47
2021-03-09,4058.47
2021-03-10,4065.79
2021-03-11,4074.08
2021-03-12,4103.11
2021-03-13,4026.77
2021-03-14,4026.77
2021-03-15,4026.77
2021-03-16,4068.26
2021-03-17,4063.59
2021-03-18,4082.32
2021-03-19,4106.63
2021-03-20,4140.83
2021-03-21,4140.83
2021-03-22,4140.83
2021-03-23,4157.94
2021-03-24,4213.91
2021-03-25,4245.63
2021-03-26,4234.9
2021-03-27,4208.46
2021-03-28,4208.46
2021-03-29,4208.46
2021-03-30,4202.9
2021-03-31,4129.57
2021-04-01,4098.42
2021-04-02,4181.97
2021-04-03,4221.6
2021-04-04,4221.6
2021-04-05,4221.6
2021-04-06,4251.11
2021-04-07,4250.9
2021-04-08,4340.8
2021-04-09,4322.38
2021-04-10,4336.55
2021-04-11,4336.55
2021-04-12,4336.55
2021-04-13,4339.97
2021-04-14,4292.18
2021-04-15,4241.89
2021-04-16,4326.28
2021-04-17,4290.88
2021-04-18,4290.88
2021-04-19,4290.88
2021-04-20,4384.2
2021-04-21,4314.8
2021-04-22,4398.86
2021-04-23,4387.37
2021-04-24,4310.03
2021-04-25,4310.03
2021-04-26,4310.03
2021-04-27,4278.0
2021-04-28,4291.88
2021-04-29,4250.44
2021-04-30,4243.98
2021-05-01,4256.31
2021-05-02,4256.31
2021-05-03,4256.31
2021-05-04,4256.31
2021-05-05,4318.79
2021-05-06,4279.51
2021-05-07,4299.44
2021-05-08,4339.29
2021-05-09,4339.29
2021-05-10,4339.29
2021-05-11,4339.29
2021-05-12,4380.12
2021-05-13,4364.77
2021-05-14,4337.3
2021-05-15,4361.99
2021-05-16,4361.99
2021-05-17,4361.99
2021-05-18,4389.05
2021-05-19,4424.77
2021-05-20,4405.96
2021-05-21,4423.47
2021-05-22,4441.88
2021-05-23,4441.88
2021-05-24,4441.88
2021-05-25,4436.75
2021-05-26,4442.93
2021-05-27,4498.4
2021-05-28,4475.59
2021-05-29,4477.3
2021-05-30,4477.3
2021-05-31,4477.3
2021-06-01,4477.3
2021-06-02,4492.16
2021-06-03,4480.03
2021-06-04,4456.92
2021-06-05,4404.19
2021-06-06,4404.19
2021-06-07,4404.19
2021-06-08,4412.9
2021-06-09,4430.04
2021-06-10,4381.15
2021-06-11,4368.5
2021-06-12,4360.1
2021-06-13,4360.1
2021-06-14,4360.1
2021-06-15,4360.1
2021-06-16,4304.46
2021-06-17,4303.16
2021-06-18,4211.68
2021-06-19,4161.79
2021-06-20,4161.79
2021-06-21,4161.79
2021-06-22,4194.8
2021-06-23,4185.05
2021-06-24,4165.39
2021-06-25,4139.56
2021-06-26,4137.67
2021-06-27,4137.67
2021-06-28,4137.67
2021-06-29,4117.26
2021-06-30,4117.54
2021-07-01,4109.93
2021-07-02,4158.37
2021-07-03,4221.29
2021-07-04,4221.29
2021-07-05,4221.29
2021-07-06,4223.75
2021-07-07,4258.37
2021-07-08,4295.95
2021-07-09,4376.42
2021-07-10,4317.67
2021-07-11,4317.67
2021-07-12,4317.67
2021-07-13,4326.22
2021-07-14,4304.58
2021-07-15,4320.73
2021-07-16,4371.55
2021-07-17,4344.52
2021-07-18,4344.52
2021-07-19,4344.52
2021-07-20,4310.29
2021-07-21,4347.53
2021-07-22,4325.24
2021-07-23,4258.64
2021-07-24,4276.19
2021-07-25,4276.19
2021-07-26,4276.19
2021-07-27,4307.56
2021-07-28,4266.86
2021-07-29,4258.18
2021-07-30,4281.39
2021-07-31,4299.07
2021-08-01,4299.07
2021-08-02,4299.07
2021-08-03,4243.23
2021-08-04,4239.95
2021-08-05,4241.34
2021-08-06,4260.67
2021-08-07,4230.86
2021-08-08,4230.86
2021-08-09,4230.86
2021-08-10,4115.74
2021-08-11,4092.41
2021-08-12,4123.87
2021-08-13,4152.17
2021-08-14,4151.89
2021-08-15,4151.89
